Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
5400000,70.1894,0.95788133,0.12661523,1.3911146,0.00021920796,1700.8767301513192,4496.0,1698.925579071045
5430000,71.640915,None,None,1.3911145,0.00021898246,None,None,1728.1928482055664
5460000,71.49606,30.945457,0.08863942,1.3910248,0.00021853251,None,None,None
5490000,70.5971,0.94007546,0.15448333,1.3909256,0.00021808251,None,None,None
5520000,70.44373,1.7706397,0.1489897,1.3907682,0.00021762884,1354.5422151312232,3417.0,1354.5421905517578
5550000,71.22132,3.4851491,0.1442395,1.3907069,0.0002170344,1690.9931879162805,4496.0,1690.9931862929773
5580000,71.94907,32.080456,0.09419119,1.390917,0.00021650705,None,None,None
5610000,71.97803,0.54671043,0.1301474,1.3908765,0.00021605704,None,None,None
5640000,72.3784,0.5045356,0.11434876,1.390474,0.00021560388,1779.2652288377285,4495.0,1779.2652130126953
5670000,72.85732,2.2915628,0.085636064,1.3903534,0.00021516332,1735.7421958284644,4496.0,1734.5152576587818
5700000,71.67534,None,None,1.3903536,0.00021493158,None,None,1752.305778503418
5730000,71.160225,31.271166,0.09608442,1.3902454,0.00021448157,None,None,None
5760000,71.49999,1.9617791,0.16545159,1.3900794,0.00021403162,None,None,None
5790000,72.03183,1.1297858,0.1607959,1.3902305,0.00021357846,1709.386769561097,4496.0,1709.3867797851562
5820000,72.82851,2.4549534,0.11500572,1.3900472,0.00021298348,1704.5400356070684,4496.0,1704.5400295915274
5850000,72.747765,31.342556,0.107069485,1.3898393,0.00021245611,None,None,None
5880000,72.1873,1.0794852,0.14080442,1.3897545,0.00021200613,None,None,None
5910000,72.59942,0.94723415,0.14894424,1.3896617,0.00021155302,1708.8003726899624,4496.0,1708.8003540039062
5940000,73.271904,1.7902707,0.07716384,1.3896731,0.00021111239,1743.3410787215007,4496.0,1751.2336165816696
5970000,73.47202,None,None,1.389673,0.00021088072,None,None,1636.7918853759766
6000000,73.55174,31.553663,0.08259898,1.3897477,0.0002104307,None,None,None
6030000,73.202934,0.97146726,0.17089583,1.389633,0.00020998069,None,None,None
6060000,73.4107,1.4936235,0.15982874,1.3896104,0.00020952756,1729.0291498824954,4496.0,1729.0290832519531
